a,y,sex,race,mom_educ,dad_educ,log_parent_income,log_parent_wealth,test_percentile
college,TRUE,Male,Non-Hispanic Non-Black,< HS,< HS,8.554513084669455,109.41043341394595,40.36920090661762
college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,31.8193043417088,80.51132459177902,100
no_college,FALSE,Male,Non-Hispanic Black,College,High school,14.087947919453025,23.85559008054986,9.881196094771333
no_college,FALSE,Female,Hispanic,High school,No dad,22.384533851995766,11.12768556369977,34.280477570183564
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,No dad,40.96618029237101,1,57.295486005213775
no_college,FALSE,Female,Hispanic,High school,High school,1,40.841082654210474,41.76890950067223
no_college,FALSE,Male,Non-Hispanic Non-Black,College,Some college,28.876794360192047,13.223145142371253,0
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,28.58966353821317,3.228369377937086,14.002381977422122
college,FALSE,Female,Non-Hispanic Non-Black,College,College,86.97926460278447,87.6115230904122,0
no_college,FALSE,Male,Hispanic,College,Some college,30.574467750552174,17.782513375341075,29.865821187919998
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,18.439886707273082,17.032687350938573,8.710623495880954
no_college,FALSE,Male,Hispanic,No mom,High school,11.562895455208285,10.627927444786733,38.371334113649624
college,TRUE,Male,Non-Hispanic Non-Black,College,College,60.511544953392516,35.04488179460701,46.604960130350236
no_college,FALSE,Male,Hispanic,< HS,< HS,15.08940583933625,25.747665479900373,38.839839076989584
college,TRUE,Male,Non-Hispanic Non-Black,High school,Some college,31.60305568807159,93.56021919180068,0.09849946438556145
no_college,TRUE,Female,Non-Hispanic Non-Black,Some college,Some college,55.83240327379653,48.44817647473005,42.75152443364844
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,13.306250746435762,1,27.2900849381814
no_college,FALSE,Female,Hispanic,< HS,No dad,1,30.981846764821498,14.07338291819539
college,FALSE,Female,Non-Hispanic Non-Black,< HS,High school,32.690028986260124,1,0
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,1,56.11065705579081,49.141048050543226
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,44.84618404909324,56.23007120998881,38.229437210941555
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,No dad,19.584377546556887,1,18.710600677790744
no_college,FALSE,Male,Non-Hispanic Black,High school,Some college,1,10.422968910105606,0
college,TRUE,Male,Hispanic,Some college,Some college,21.616847037190126,29.41388866133332,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,37.979362039694685,49.332491411606355,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,15.770448664623249,1,19.781947516552147
no_college,FALSE,Male,Hispanic,< HS,No dad,11.605036282060542,1,11.378110207247683
no_college,TRUE,Female,Non-Hispanic Non-Black,College,College,28.52768236513095,16.366826234488418,81.48228321382318
college,FALSE,Male,Non-Hispanic Non-Black,College,College,1,74.99941989835966,27.659003558476773
no_college,FALSE,Male,Non-Hispanic Black,High school,High school,1,32.51048735385849,0
no_college,TRUE,Male,Hispanic,< HS,Some college,28.49857730634856,24.804210553534755,28.091277219914986
college,TRUE,Male,Non-Hispanic Non-Black,< HS,Some college,93.34798194723439,21.39830307874427,85.61263449505998
college,FALSE,Male,Non-Hispanic Non-Black,Some college,Some college,80.74802951683132,53.624463978432146,66.835103058232
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,15.617610001066193,15.498929598159203,16.28283336325282
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,7.54255363143738,20.148105411082497,7.90807199476882
college,TRUE,Male,Non-Hispanic Non-Black,College,College,54.08310688156264,55.28484382386975,33.478627372874584
no_college,FALSE,Female,Hispanic,No mom,No dad,3.5317601144069712,3.9146112429761004,15.439755364958984
no_college,FALSE,Male,Non-Hispanic Black,< HS,Some college,18.950137294104795,14.728090884379965,1.5033630036045693
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,< HS,1,18.273827411171027,24.776413823021723
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,26.11508268612544,5.365653626424251,44.075958755009566
no_college,FALSE,Male,Non-Hispanic Black,High school,< HS,23.194758096128005,14.030493067703873,15.110903961839963
college,FALSE,Male,Non-Hispanic Non-Black,High school,No dad,33.421891411403514,8.80850844840284,44.45140789806008
no_college,TRUE,Female,Non-Hispanic Non-Black,< HS,High school,25.489748156901896,42.39052364339695,26.25433498974748
no_college,FALSE,Female,Hispanic,< HS,No dad,12.699017007301533,17.0351769645357,44.28884962259514
no_college,FALSE,Male,Hispanic,< HS,No dad,28.908080913061305,12.709368545605523,18.495380881822406
no_college,FALSE,Male,Hispanic,High school,High school,22.554341831792367,37.274998457757036,0
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,College,1,47.89962988789128,16.099979412139
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,29.813408958061416,53.681553707533624,30.118243908693735
no_college,FALSE,Male,Hispanic,< HS,< HS,9.482399389631041,16.580132869632152,11.636207211116327
no_college,FALSE,Male,Non-Hispanic Non-Black,College,College,34.88945770655418,58.48947715634418,25.175374573197466
no_college,FALSE,Female,Hispanic,High school,No dad,12.100868642234083,33.52730652334242,27.20790609393799
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,7.181025000706938,27.838435372423866,0
college,FALSE,Female,Hispanic,< HS,< HS,43.913269667479454,20.40175302512295,48.32616546452179
no_college,FALSE,Male,Non-Hispanic Black,< HS,High school,4.919270227894798,22.2313420064826,21.504710594119853
