race,wealth,weight
White,762100,3027.9561205
White,854300,3054.9000651
White,678200,3163.6377657
White,279600,3166.2284633
White,602600,3235.6247147
White,721800,236.63475408
White,723800,245.84839802
White,721400,253.10347701
White,724300,252.90811795
White,722600,253.81131151
White,43597590,678.86930747
White,44451510,671.83237036
White,41056890,619.95334878
White,44730180,691.5135948
White,43740180,671.77291557
White,2203000,621.94885389
White,2006000,653.29117603
White,2000000,597.16907397
White,2354000,611.8923898
White,2000000,612.06934792
Black,10000,7191.4811087
Black,10000,7352.4872047
Black,10000,7270.7035407
Black,10000,7383.8665965
Black,10000,7330.5376686
White,7232000,3486.222888
White,6523000,3675.3832071
White,6371000,3839.7629768
White,7474000,3695.6583057
White,6791170,3530.7782016
White,70669800,58.669076038
White,73429800,57.863398947
White,76810800,58.182720609
White,73633800,59.451973117
White,74328800,59.19887069
Black,10000,2459.2932176
Black,10000,2472.8364156
Black,10000,2435.5703354
Black,10000,2476.1511929
Black,10000,2441.1281292
White,6406100,3550.9413483
White,6405100,3645.3938847
White,6405200,3789.1858457
White,11266200,3639.1057309
White,22666100,2203.1683607
White,211350,7792.6790931
White,214350,7003.4916989
White,215250,7158.2755568
White,212950,7408.6904465
White,213150,7082.9947394
White,324500,1823.136755
White,323500,1643.7730848
White,324500,1723.3107211
White,324500,1778.5797797
White,324500,1613.7292722
White,10000,6265.2276234
White,10000,6259.5187819
White,10000,6296.7174038
White,10000,6276.2111101
White,10000,6272.7711906
White,217000,3681.5592967
White,153240,3487.0960233
White,106000,2111.2501745
White,95000,2143.1473853
White,66200,2194.2319965
Black,422190,4004.2661924
Black,364200,6010.7193961
Black,410781,6214.2784759
Black,419981,6054.5048227
Black,363281,6133.2812608
White,10000,18445.548496
White,10000,17881.634838
White,10000,18238.611944
White,10000,18054.486859
White,10000,17999.906087
Hispanic,292790,3426.3787547
Hispanic,291190,3162.4438975
Hispanic,290090,3266.9243166
Hispanic,293460,3234.7280155
Hispanic,289900,3187.5712848
Black,22750,1776.9519045
Black,29150,1765.4366743
Black,27250,1798.7379019
Black,27350,1761.6116905
Black,25250,1792.614278
White,1051200,8217.2138682
White,950200,8247.7439418
White,1030100,8878.0602006
White,989100,8468.1683072
White,1063200,9015.0932253
White,44000,22814.844165
White,44000,22114.85992
White,43000,22343.582708
White,44000,22309.373219
White,44000,22114.676901
Black,84500,2680.1403691
Black,83500,2561.2490484
Black,84500,2615.6384228
Black,84500,2612.8531139
Black,83600,2576.8246081
Asian,46867500,445.84818684
Asian,41904600,445.45134498
Asian,37359600,449.13777959
Asian,44014600,454.24830761
Asian,40889500,453.21156048
White,3435200,3424.987204
White,3418200,3753.2989222
White,3388200,4073.2895579
White,3449200,3647.5048057
White,3405200,3529.1493775
White,82900,20117.990097
White,79100,18778.053292
White,80100,19062.18733
White,78500,18989.536385
White,78450,18857.194369
White,2391000,6933.5373355
White,2421310,8164.2458332
White,4316000,3509.8946165
White,1957700,7006.14155
White,3692000,3041.4780126
White,86456000,47.865851169
White,85555000,47.44788337
White,90737000,47.819706104
White,90256000,48.789293852
White,85915000,48.14878109
White,10000,4083.8250437
White,10000,3995.2529154
White,10000,4024.6616167
White,10000,4023.4574221
White,10000,3977.8495128
Asian,10000,13312.145307
Asian,10000,13413.744495
Asian,10000,13412.092016
Asian,10000,13551.774656
Asian,10000,13444.977243
Black,10000,1971.0027329
Black,10000,1932.7158134
Black,10000,1936.3102899
Black,10000,1986.805214
Black,10000,1931.4586934
Black,432700,6286.0501143
Black,430700,6334.197005
Black,430700,6728.0153711
Black,431700,6512.0021933
Black,430700,6846.3203372
White,2720900,7701.6196174
White,2626900,9064.8302566
White,2593500,6496.480099
White,2751900,7777.5575026
White,2625000,7005.4805713
Black,10000,11364.335766
Black,12070,11744.934414
Black,10000,11388.437624
Black,10000,11723.022029
Black,10760,11469.061251
White,357500,7928.4801469
White,355500,7959.1143785
White,367500,8568.9521087
White,358500,8176.283089
White,385500,8702.8985269
Black,87400,12353.762728
Black,75500,11673.568435
Black,111100,11698.784927
Black,96400,11905.854315
Black,102000,11556.930657
Asian,4876500,3472.2396888
Asian,5633500,3571.5047742
Asian,5002500,3720.9012166
Asian,4884000,3575.5627463
Asian,5267000,3496.244379
Hispanic,445800,2229.8434014
Hispanic,445900,2237.1105643
Hispanic,445800,2405.6442535
Hispanic,445900,2296.9002561
Hispanic,445800,2441.7973333
Hispanic,24000,3943.8421021
Hispanic,23000,3950.9612601
Hispanic,23700,3965.318234
Hispanic,23400,3975.1767848
Hispanic,24200,3956.8783272
Other,14100,1708.5699344
Other,16200,1717.8161439
Other,15100,1691.3292023
Other,10000,1719.7898428
Other,21600,1695.5618158
White,42184000,44.507835705
White,39706000,44.486182699
White,40400000,44.69035268
White,37500000,45.240845943
White,36154000,45.277865715
Black,615000,6379.9669084
Black,640000,6367.7649007
Black,620000,6937.7123259
Black,590000,6528.1403132
Black,570000,7033.5964956
White,158900,15976.03341
White,159900,15168.372019
White,157900,15267.45391
White,157900,15445.75992
White,157900,15100.38257
Black,350430,2200.1046689
Black,106020,2107.918838
Black,219800,2240.3474587
Black,115220,2198.5534145
Black,149820,2234.6274594
Black,20690,2731.8492713
Black,21090,2760.4689028
Black,21390,2721.6432225
Black,21400,2741.054701
Black,17900,2694.1014737
Black,10000,11561.956936
Black,10000,11618.511931
Black,10000,11444.806921
Black,10000,11627.513617
Black,10000,11473.95082
Black,101300,2273.9185273
Black,215300,2177.2331889
Black,154300,2159.6318797
Black,145300,2168.0405617
Black,77300,2140.2475919
Black,10000,1702.1611033
Black,10000,1714.2739285
Black,10000,1691.1501992
Black,10000,1726.5871517
Black,10000,1691.0926432
White,1167030,8848.2220127
White,1031930,8876.4396846
White,985230,9558.8931742
White,970130,9111.4832287
White,971430,9707.9451145
White,20700,10811.899245
White,20800,10916.744386
White,20700,10949.730379
White,20700,10827.937256
White,20800,10912.562625
White,6288100,2441.205232
White,6272100,2676.3890876
White,6289100,2901.7287758
White,6285100,2599.6179435
White,6270900,2514.475571
White,55896000,61.142091006
White,237280300,60.092680072
White,55022000,61.850442989
White,97542200,61.760135845
White,223326000,60.474782587
White,921100,10625.088826
White,919730,10664.56507
White,919780,11479.581735
White,917530,10949.579979
White,918830,11656.769293
Asian,800000,2794.6533748
Asian,799000,3269.3420986
Asian,799000,2345.3689521
Asian,799000,2782.4853589
Asian,801000,2522.9367454
Hispanic,75090,3338.2860762
Hispanic,45670,3342.4145691
Hispanic,60220,3332.077583
Hispanic,65005,3343.5538325
Hispanic,61900,3331.8014756
White,4097000,4359.8357084
White,4097000,4760.3925376
White,4098000,5193.1888855
White,4098000,4609.1412007
White,4098000,4492.6527471
Black,10000,1811.3241627
Black,10000,1842.8456281
Black,10000,1819.5422544
Black,10000,1829.6475061
Black,10000,1823.9413113
White,12980,9295.5860795
White,10000,9011.4032618
White,27960,9191.3009438
White,24640,9098.511587
White,10000,9071.0057497
Black,242800,12344.42983
Black,241800,11796.829569
Black,247800,12047.341006
Black,247800,12034.512182
Black,241800,11868.568872
White,155900,13485.961494
White,160900,12952.294844
White,160900,13130.16168
White,150000,13068.371962
White,157900,13001.056236
White,10000,7543.2715749
White,10000,7844.3349082
White,10000,7729.076272
White,10000,7550.8350157
White,10000,7873.5995419
White,412500,10739.797982
White,413500,10314.802552
White,413500,10456.450138
White,413500,10407.242738
White,413500,10353.6346
White,9803500,126.24093635
White,9820500,132.47861418
White,9820500,138.83275083
White,9348500,132.66963206
White,9803500,128.52248847
White,10354000,1707.5384376
White,12147000,1819.4080444
White,14706000,1897.9603164
White,11836000,1824.4768624
White,9472000,1719.6961246
White,28221,7584.8735811
White,27321,7643.2197387
White,28321,7644.1512007
White,28321,7719.6978555
White,28121,7662.0759403
White,936000,7629.1017878
White,934000,7654.0841169
White,938000,8247.089554
White,934900,7862.6688612
White,937900,8373.1139226
White,518750,2446.1577671
White,449750,2455.9654181
White,472750,2643.5884641
White,492750,2522.3265069
White,502750,2684.3884213
White,105400,14131.387742
White,114400,13625.873357
White,111400,13492.421725
White,115400,13691.765488
White,94200,13405.570641
White,1715710,9850.0140561
White,1351800,10206.395464
White,1005100,9324.6414608
White,1158800,9696.4509251
White,2059900,9658.784935
White,58000,15735.70601
White,57000,15750.676832
White,55000,15722.589721
White,67000,15744.367659
White,68000,15731.097593
Black,14000,8923.1001495
Black,14000,9016.5810897
Black,14000,8889.7639048
White,15000,9001.0571398
White,14000,9027.6096712
White,129980,9315.9932233
White,115210,9279.3774266
White,111530,9315.1085848
White,167710,9352.6442782
White,76840,9329.505405
White,373600,13123.66377
White,179000,12826.487643
White,304300,12635.448242
White,326210,12933.567014
White,189500,12545.219444
White,1360000,7512.4339593
White,1360000,7540.3455075
White,1360000,8116.6003481
White,1359000,7741.8643574
White,1360000,8241.8802257
Black,10000,1466.6269738
Black,10000,1476.7115758
Black,10000,1481.3690828
Black,10000,1480.3368008
Black,10000,1483.6185121
Black,379190,13270.593405
Black,457400,13916.530515
Black,414300,15087.666317
Black,500500,13731.080099
Black,398600,15323.510658
White,573200,10832.219087
White,577000,10866.763881
White,567000,11702.240851
White,573800,11154.510183
White,598000,11884.714038
White,135544000,49.83072079
White,136019000,50.643470554
White,133907000,51.005204289
White,134414000,52.009493102
White,134447000,50.173778541
White,10000,8940.2660336
White,10000,8905.7085273
White,10000,8978.8644268
White,10000,8802.4911962
White,10000,8954.7306381
Hispanic,225570,1555.9130189
Hispanic,225570,1571.6050318
Hispanic,225570,1575.4753312
Hispanic,225570,1578.1644846
Hispanic,225570,1577.2930654
White,316100,15647.427651
White,354100,14856.378781
White,324100,14953.422689
White,336100,15128.061181
White,315200,14789.787785
White,917900,6551.0870376
White,841700,6572.9978133
White,552500,7078.4432572
White,1450100,6538.043651
White,760500,7186.174988
White,84200,16298.293694
White,190000,15709.932515
White,111100,15962.724433
White,79530,15528.938272
White,88400,15312.047567
White,7576000,911.33535784
White,7575000,939.80277389
White,7575000,975.07475393
White,7575000,939.16904425
White,7574000,928.41418797
Black,10000,1763.7725483
Black,10000,1747.8751633
Black,10000,1746.0408204
Black,10000,1777.4348654
Black,10000,1742.3802675
Black,318560,3036.2653185
Black,318560,3131.1483488
Black,318560,3035.2637788
Black,319560,3105.9317132
Black,317560,3059.0167959
White,16585200,42.73338327
White,16909000,44.051204269
White,19089500,46.891188682
White,17701500,44.225022655
White,16760000,42.777140885
White,3794500,428.18587539
White,3794500,446.14259586
White,3794500,463.80349695
White,3794500,447.14084718
White,3794500,435.87794717
White,574460,3163.1335555
White,587550,3129.3778907
White,580360,3233.2528486
White,600370,3234.2566799
White,565730,3379.0299327
White,173333000,48.024276895
White,163362000,47.604925711999996
White,157947600,47.977979099
White,119981400,48.950775975
White,176387000,48.308143253
Black,10000,1917.6477173
Black,10000,1909.6735157
Black,10000,1882.1922964
Black,10000,1937.1855079
Black,10000,1886.029704
White,60918000,66.050685858
White,56419000,65.392430258
White,68417000,67.256934138
White,56418000,67.12430587
White,56418000,65.410752282
White,100000,12052.223868
White,101000,11621.086271
White,100000,11507.269499
White,100000,11677.283633
White,101000,11433.196893
White,239100,15110.881345
White,239900,14570.328072
White,243900,14427.626462
White,263500,14640.787406
White,238800,14334.75544
